Propiedade;Modalidade;MODALIDADE_EAD;Id_aluno;SEXO;NASCIMENTO;CIDADE;UF;CANAL_VENDAS;CURSO;DS_TURNO_INSCRICAO;DT_INSCRICAO;FL_MATRICULADO;VL_MENSALIDADE;DS_PRIM_CANAL_VENDAS
Propio;Escola  a Distancia;SEMI-PRESENCIAL;170;M;02/05/2001 00:00;JAÚ;SP;ESCOLA;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ESCOLA
Propio;Escola  a Distancia;SEMI-PRESENCIAL;420;F;21/11/2001 00:00;CACHOEIRO DE ITAPEMIRIM;ES;ESCOLA;ADMINISTRAÇÃO;NOTURNO;22/05/2020 00:00;0;65;ESCOLA
Propio;Escola  a Distancia;SEMI-PRESENCIAL;761;M;25/06/2001 00:00;RIO BRANCO;AC;ESCOLA;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ESCOLA
Propio;Escola  a Distancia;SEMI-PRESENCIAL;51;F;07/11/1995 00:00;PORTO ALEGRE;RS;ACAO EMPRESA;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;EMPRESA
Propio;Escola  a Distancia;SEMI-PRESENCIAL;316;M;10/12/2000 00:00;ITAPEVA;SP;ACAO EMPRESA;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;EMPRESA
Propio;Escola  a Distancia;SEMI-PRESENCIAL;354;F;05/06/1999 00:00;VALINHOS;SP;ACAO EMPRESA;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;EMPRESA
Propio;Escola  a Distancia;SEMI-PRESENCIAL;29;F;29/07/2002 00:00;ALVORADA;RS;ENEM;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;SEMI-PRESENCIAL;77;M;02/01/2000 00:00;JABOATÃO DOS GUARARAPES;PE;ENEM;ADMINISTRAÇÃO;NOTURNO;22/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;SEMI-PRESENCIAL;166;F;15/03/2001 00:00;ALVORADA;RS;ENEM;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;SEMI-PRESENCIAL;434;M;01/01/1996 00:00;CACHOEIRO DE ITAPEMIRIM;ES;ENEM;ADMINISTRAÇÃO;NOTURNO;22/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;SEMI-PRESENCIAL;436;F;09/06/2000 00:00;CACHOEIRO DE ITAPEMIRIM;ES;ENEM;ADMINISTRAÇÃO;NOTURNO;22/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;SEMI-PRESENCIAL;466;F;13/06/1990 00:00;CASCAVEL;PR;ENEM;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;100% ONLINE;467;M;11/04/1996 00:00;NOVA LIMA;MG;ENEM;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;SEMI-PRESENCIAL;568;F;01/01/1901 00:00;MOSSORÓ;RN;ENEM;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;SEMI-PRESENCIAL;593;F;22/12/2000 00:00;BARRA DO CHOÇA;BA;ENEM;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ENEM
Propio;Escola  a Distancia;SEMI-PRESENCIAL;625;F;17/02/1996 00:00;RIBEIRÃO DAS NEVES;MG;ENEM;ADMINISTRAÇÃO;NOTURNO;21/05/2020 00:00;0;65;ENEM
